user_id,Learning Path ID,Total Certifications,Average Performance,id,User Name
18.0,18.0,10,72.0,18,Megan Nolan
19.0,2.0,11,77.75,19,Carl Browning
19.0,5.0,11,82.0,19,Carl Browning
19.0,6.0,11,70.0,19,Carl Browning
19.0,7.0,11,87.0,19,Carl Browning
19.0,15.0,11,73.0,19,Carl Browning
19.0,17.0,11,78.5,19,Carl Browning
20.0,1.0,12,90.0,20,Antonio Wheeler
20.0,2.0,12,78.2,20,Antonio Wheeler
20.0,7.0,12,96.0,20,Antonio Wheeler
20.0,8.0,12,89.0,20,Antonio Wheeler
20.0,11.0,12,88.0,20,Antonio Wheeler
20.0,18.0,12,88.0,20,Antonio Wheeler
20.0,19.0,12,71.0,20,Antonio Wheeler
20.0,20.0,12,70.0,20,Antonio Wheeler
21.0,1.0,14,82.0,21,Margaret Clarke
21.0,2.0,14,81.6,21,Margaret Clarke
21.0,12.0,14,74.0,21,Margaret Clarke
21.0,13.0,14,83.0,21,Margaret Clarke
21.0,14.0,14,77.0,21,Margaret Clarke
21.0,15.0,14,88.0,21,Margaret Clarke
21.0,16.0,14,92.0,21,Margaret Clarke
21.0,17.0,14,77.0,21,Margaret Clarke
21.0,18.0,14,88.0,21,Margaret Clarke
21.0,20.0,14,73.0,21,Margaret Clarke
22.0,2.0,15,79.6,22,Jacob Martin
22.0,6.0,15,78.0,22,Jacob Martin
22.0,7.0,15,71.0,22,Jacob Martin
22.0,8.0,15,96.0,22,Jacob Martin
22.0,12.0,15,82.0,22,Jacob Martin
22.0,13.0,15,81.0,22,Jacob Martin
22.0,15.0,15,74.0,22,Jacob Martin
22.0,16.0,15,86.0,22,Jacob Martin
22.0,17.0,15,78.0,22,Jacob Martin
22.0,18.0,15,85.0,22,Jacob Martin
23.0,2.0,13,84.25,23,Isaiah Glover
23.0,3.0,13,80.0,23,Isaiah Glover
23.0,4.0,13,70.0,23,Isaiah Glover
23.0,7.0,13,78.0,23,Isaiah Glover
23.0,11.0,13,89.0,23,Isaiah Glover
23.0,12.0,13,78.0,23,Isaiah Glover
23.0,14.0,13,86.0,23,Isaiah Glover
23.0,17.0,13,84.0,23,Isaiah Glover
23.0,18.0,13,91.0,23,Isaiah Glover
23.0,20.0,13,88.0,23,Isaiah Glover
24.0,1.0,10,81.0,24,Geoffrey Smith
24.0,2.0,10,78.75,24,Geoffrey Smith
24.0,7.0,10,92.0,24,Geoffrey Smith
24.0,12.0,10,82.0,24,Geoffrey Smith
24.0,17.0,10,69.0,24,Geoffrey Smith
24.0,18.0,10,90.0,24,Geoffrey Smith
25.0,2.0,11,82.5,25,Rebecca Todd
25.0,4.0,11,84.0,25,Rebecca Todd
25.0,5.0,11,84.0,25,Rebecca Todd
25.0,9.0,11,84.0,25,Rebecca Todd
25.0,10.0,11,77.0,25,Rebecca Todd
25.0,12.0,11,83.0,25,Rebecca Todd
25.0,14.0,11,66.0,25,Rebecca Todd
25.0,17.0,11,81.0,25,Rebecca Todd
26.0,1.0,10,80.0,26,Jennifer Nichols
26.0,2.0,10,85.0,26,Jennifer Nichols
26.0,7.0,10,87.0,26,Jennifer Nichols
26.0,14.0,10,78.0,26,Jennifer Nichols
26.0,17.0,10,74.0,26,Jennifer Nichols
26.0,19.0,10,93.0,26,Jennifer Nichols
27.0,2.0,14,77.5,27,Michael Avila
27.0,3.0,14,75.0,27,Michael Avila
27.0,5.0,14,78.0,27,Michael Avila
27.0,6.0,14,87.0,27,Michael Avila
27.0,7.0,14,93.0,27,Michael Avila
27.0,10.0,14,85.5,27,Michael Avila
27.0,11.0,14,81.0,27,Michael Avila
27.0,16.0,14,83.0,27,Michael Avila
27.0,17.0,14,70.0,27,Michael Avila
27.0,18.0,14,78.0,27,Michael Avila
28.0,2.0,10,76.0,28,Anthony Williams
28.0,8.0,10,65.0,28,Anthony Williams
28.0,11.0,10,79.0,28,Anthony Williams
28.0,12.0,10,90.0,28,Anthony Williams
28.0,13.0,10,89.0,28,Anthony Williams
28.0,17.0,10,83.0,28,Anthony Williams
28.0,20.0,10,82.0,28,Anthony Williams
29.0,2.0,11,78.25,29,Daniel Hall PhD
29.0,11.0,11,80.0,29,Daniel Hall PhD
29.0,12.0,11,88.0,29,Daniel Hall PhD
29.0,14.0,11,75.0,29,Daniel Hall PhD
29.0,15.0,11,74.0,29,Daniel Hall PhD
29.0,17.0,11,75.0,29,Daniel Hall PhD
29.0,19.0,11,78.5,29,Daniel Hall PhD
30.0,2.0,15,85.0,30,Joshua Edwards
30.0,5.0,15,80.0,30,Joshua Edwards
30.0,8.0,15,93.0,30,Joshua Edwards
30.0,9.0,15,77.5,30,Joshua Edwards
30.0,11.0,15,85.0,30,Joshua Edwards
30.0,12.0,15,88.0,30,Joshua Edwards
30.0,13.0,15,75.0,30,Joshua Edwards
30.0,14.0,15,94.0,30,Joshua Edwards
30.0,17.0,15,80.5,30,Joshua Edwards
30.0,20.0,15,81.5,30,Joshua Edwards
31.0,2.0,10,77.0,31,Bradley Meyer
31.0,8.0,10,64.0,31,Bradley Meyer
31.0,16.0,10,74.0,31,Bradley Meyer
31.0,17.0,10,78.0,31,Bradley Meyer
31.0,19.0,10,81.0,31,Bradley Meyer
31.0,20.0,10,82.0,31,Bradley Meyer
32.0,2.0,10,79.25,32,Jerry Snyder DDS
32.0,4.0,10,71.0,32,Jerry Snyder DDS
32.0,9.0,10,73.0,32,Jerry Snyder DDS
32.0,10.0,10,87.0,32,Jerry Snyder DDS
32.0,17.0,10,79.5,32,Jerry Snyder DDS
32.0,18.0,10,81.0,32,Jerry Snyder DDS
33.0,1.0,10,85.0,33,Jade Conley
33.0,2.0,10,79.25,33,Jade Conley
33.0,3.0,10,84.0,33,Jade Conley
33.0,6.0,10,84.0,33,Jade Conley
33.0,7.0,10,90.0,33,Jade Conley
33.0,17.0,10,83.0,33,Jade Conley
33.0,19.0,10,84.0,33,Jade Conley
34.0,2.0,15,85.0,34,Deborah Stafford
34.0,3.0,15,82.0,34,Deborah Stafford
34.0,8.0,15,77.0,34,Deborah Stafford
34.0,10.0,15,86.0,34,Deborah Stafford
34.0,14.0,15,79.0,34,Deborah Stafford
34.0,15.0,15,82.0,34,Deborah Stafford
34.0,16.0,15,78.0,34,Deborah Stafford
34.0,17.0,15,85.0,34,Deborah Stafford
34.0,20.0,15,70.0,34,Deborah Stafford
35.0,2.0,12,77.75,35,Kyle Martinez
35.0,3.0,12,68.0,35,Kyle Martinez
35.0,5.0,12,81.0,35,Kyle Martinez
35.0,7.0,12,84.0,35,Kyle Martinez
35.0,9.0,12,76.0,35,Kyle Martinez
35.0,17.0,12,83.5,35,Kyle Martinez
36.0,2.0,15,78.5,36,Michele Vargas
36.0,5.0,15,81.0,36,Michele Vargas
36.0,6.0,15,74.0,36,Michele Vargas
36.0,7.0,15,86.0,36,Michele Vargas
36.0,9.0,15,90.0,36,Michele Vargas
36.0,13.0,15,86.5,36,Michele Vargas
36.0,17.0,15,81.0,36,Michele Vargas
36.0,18.0,15,77.0,36,Michele Vargas
36.0,19.0,15,76.5,36,Michele Vargas
37.0,1.0,12,81.5,37,Janice Whitaker
37.0,2.0,12,74.25,37,Janice Whitaker
37.0,7.0,12,85.0,37,Janice Whitaker
37.0,9.0,12,76.0,37,Janice Whitaker
37.0,17.0,12,92.0,37,Janice Whitaker
37.0,18.0,12,94.0,37,Janice Whitaker
37.0,20.0,12,81.0,37,Janice Whitaker
38.0,2.0,13,77.0,38,Jason Mills
38.0,7.0,13,75.0,38,Jason Mills
38.0,12.0,13,79.5,38,Jason Mills
38.0,15.0,13,85.0,38,Jason Mills
38.0,16.0,13,89.0,38,Jason Mills
38.0,17.0,13,84.0,38,Jason Mills
38.0,19.0,13,91.0,38,Jason Mills
39.0,2.0,14,83.75,39,William Jenkins
39.0,5.0,14,61.0,39,William Jenkins
39.0,6.0,14,71.0,39,William Jenkins
39.0,11.0,14,75.0,39,William Jenkins
39.0,13.0,14,80.0,39,William Jenkins
39.0,17.0,14,72.0,39,William Jenkins
39.0,18.0,14,73.0,39,William Jenkins
39.0,19.0,14,88.0,39,William Jenkins
39.0,20.0,14,77.5,39,William Jenkins
40.0,2.0,11,77.5,40,Michael Gilmore
40.0,11.0,11,80.25,40,Michael Gilmore
40.0,17.0,11,79.5,40,Michael Gilmore
40.0,19.0,11,65.0,40,Michael Gilmore
41.0,2.0,14,73.75,41,David Anderson
41.0,3.0,14,81.33,41,David Anderson
41.0,10.0,14,78.0,41,David Anderson
41.0,14.0,14,84.0,41,David Anderson
41.0,16.0,14,71.0,41,David Anderson
41.0,17.0,14,72.0,41,David Anderson
41.0,18.0,14,75.0,41,David Anderson
42.0,2.0,12,80.5,42,Andrea Alexander
42.0,3.0,12,91.0,42,Andrea Alexander
42.0,5.0,12,72.5,42,Andrea Alexander
42.0,6.0,12,70.0,42,Andrea Alexander
42.0,7.0,12,75.0,42,Andrea Alexander
42.0,12.0,12,75.5,42,Andrea Alexander
42.0,17.0,12,82.0,42,Andrea Alexander
43.0,1.0,13,86.0,43,John Hernandez
43.0,2.0,13,84.25,43,John Hernandez
43.0,6.0,13,81.0,43,John Hernandez
43.0,8.0,13,74.0,43,John Hernandez
43.0,9.0,13,76.0,43,John Hernandez
43.0,10.0,13,76.0,43,John Hernandez
43.0,12.0,13,79.0,43,John Hernandez
43.0,17.0,13,86.0,43,John Hernandez
44.0,2.0,11,75.0,44,Steven Heath
44.0,6.0,11,74.0,44,Steven Heath
44.0,8.0,11,84.0,44,Steven Heath
44.0,13.0,11,79.5,44,Steven Heath
44.0,14.0,11,92.0,44,Steven Heath
44.0,17.0,11,88.5,44,Steven Heath
45.0,1.0,15,80.0,45,Dr. Eric Miller
45.0,2.0,15,78.0,45,Dr. Eric Miller
45.0,3.0,15,72.0,45,Dr. Eric Miller
45.0,5.0,15,82.0,45,Dr. Eric Miller
45.0,6.0,15,89.0,45,Dr. Eric Miller
45.0,8.0,15,79.0,45,Dr. Eric Miller
45.0,15.0,15,81.0,45,Dr. Eric Miller
45.0,16.0,15,78.0,45,Dr. Eric Miller
45.0,17.0,15,77.0,45,Dr. Eric Miller
45.0,18.0,15,88.0,45,Dr. Eric Miller
45.0,20.0,15,76.0,45,Dr. Eric Miller
46.0,2.0,11,78.5,46,Brittney Taylor
46.0,3.0,11,85.5,46,Brittney Taylor
46.0,7.0,11,92.0,46,Brittney Taylor
46.0,8.0,11,84.0,46,Brittney Taylor
46.0,12.0,11,84.0,46,Brittney Taylor
46.0,16.0,11,72.0,46,Brittney Taylor
46.0,17.0,11,88.0,46,Brittney Taylor
47.0,2.0,11,82.5,47,Rachel Perry
47.0,4.0,11,76.0,47,Rachel Perry
47.0,8.0,11,63.5,47,Rachel Perry
47.0,9.0,11,71.0,47,Rachel Perry
47.0,16.0,11,78.0,47,Rachel Perry
47.0,17.0,11,77.0,47,Rachel Perry
47.0,20.0,11,78.0,47,Rachel Perry
48.0,1.0,13,89.0,48,Elizabeth Rasmussen
48.0,2.0,13,80.6,48,Elizabeth Rasmussen
48.0,14.0,13,84.0,48,Elizabeth Rasmussen
48.0,15.0,13,94.0,48,Elizabeth Rasmussen
48.0,16.0,13,74.0,48,Elizabeth Rasmussen
48.0,17.0,13,80.67,48,Elizabeth Rasmussen
49.0,2.0,13,77.6,49,Brian Smith
49.0,6.0,13,80.0,49,Brian Smith
49.0,9.0,13,86.0,49,Brian Smith
49.0,10.0,13,79.0,49,Brian Smith
49.0,17.0,13,81.0,49,Brian Smith
49.0,18.0,13,72.0,49,Brian Smith
49.0,19.0,13,77.0,49,Brian Smith
50.0,2.0,11,79.75,50,Sandra Huff
50.0,5.0,11,73.0,50,Sandra Huff
50.0,9.0,11,78.0,50,Sandra Huff
50.0,10.0,11,84.0,50,Sandra Huff
50.0,11.0,11,76.0,50,Sandra Huff
50.0,16.0,11,90.0,50,Sandra Huff
50.0,17.0,11,89.5,50,Sandra Huff
51.0,1.0,13,66.0,51,James Phillips
51.0,2.0,13,74.0,51,James Phillips
51.0,5.0,13,93.0,51,James Phillips
51.0,11.0,13,95.0,51,James Phillips
51.0,13.0,13,66.0,51,James Phillips
51.0,15.0,13,73.0,51,James Phillips
51.0,17.0,13,85.0,51,James Phillips
51.0,19.0,13,82.0,51,James Phillips
52.0,2.0,10,79.0,52,Carly Beard
52.0,7.0,10,76.0,52,Carly Beard
52.0,9.0,10,66.0,52,Carly Beard
52.0,17.0,10,84.0,52,Carly Beard
52.0,18.0,10,77.0,52,Carly Beard
52.0,19.0,10,77.0,52,Carly Beard
53.0,1.0,14,84.0,53,James Castro
53.0,2.0,14,85.75,53,James Castro
53.0,3.0,14,88.0,53,James Castro
53.0,12.0,14,88.67,53,James Castro
53.0,14.0,14,83.0,53,James Castro
53.0,15.0,14,76.0,53,James Castro
53.0,17.0,14,78.0,53,James Castro
53.0,19.0,14,74.0,53,James Castro
53.0,20.0,14,87.0,53,James Castro
54.0,1.0,11,72.0,54,Brittany Tapia
54.0,2.0,11,85.33,54,Brittany Tapia
54.0,3.0,11,66.0,54,Brittany Tapia
54.0,6.0,11,87.0,54,Brittany Tapia
54.0,14.0,11,77.0,54,Brittany Tapia
54.0,15.0,11,76.0,54,Brittany Tapia
54.0,16.0,11,72.0,54,Brittany Tapia
54.0,17.0,11,91.5,54,Brittany Tapia
55.0,2.0,12,75.5,55,Janet Duncan
55.0,3.0,12,84.0,55,Janet Duncan
55.0,6.0,12,70.0,55,Janet Duncan
55.0,7.0,12,84.0,55,Janet Duncan
55.0,13.0,12,83.0,55,Janet Duncan
55.0,14.0,12,71.0,55,Janet Duncan
55.0,15.0,12,74.0,55,Janet Duncan
55.0,17.0,12,86.0,55,Janet Duncan
55.0,20.0,12,84.0,55,Janet Duncan
56.0,2.0,11,79.75,56,Betty Cooper
56.0,5.0,11,76.0,56,Betty Cooper
56.0,9.0,11,66.0,56,Betty Cooper
56.0,12.0,11,72.0,56,Betty Cooper
56.0,17.0,11,68.0,56,Betty Cooper
56.0,18.0,11,86.0,56,Betty Cooper
56.0,19.0,11,84.5,56,Betty Cooper
57.0,2.0,11,86.0,57,Evan Santos
57.0,5.0,11,82.0,57,Evan Santos
57.0,7.0,11,72.0,57,Evan Santos
57.0,10.0,11,92.0,57,Evan Santos
57.0,14.0,11,66.0,57,Evan Santos
57.0,16.0,11,94.0,57,Evan Santos
57.0,17.0,11,70.0,57,Evan Santos
57.0,20.0,11,88.0,57,Evan Santos
58.0,2.0,11,81.25,58,Michael Walker
58.0,4.0,11,73.0,58,Michael Walker
58.0,9.0,11,86.5,58,Michael Walker
58.0,12.0,11,72.0,58,Michael Walker
58.0,16.0,11,75.0,58,Michael Walker
58.0,17.0,11,78.0,58,Michael Walker
59.0,1.0,13,93.0,59,Peter Harris
59.0,2.0,13,79.5,59,Peter Harris
59.0,6.0,13,79.0,59,Peter Harris
59.0,10.0,13,84.0,59,Peter Harris
59.0,11.0,13,89.0,59,Peter Harris
59.0,17.0,13,77.0,59,Peter Harris
59.0,18.0,13,64.0,59,Peter Harris
59.0,20.0,13,85.0,59,Peter Harris
60.0,2.0,12,84.25,60,Candace Marshall
60.0,3.0,12,84.0,60,Candace Marshall
60.0,5.0,12,79.0,60,Candace Marshall
60.0,14.0,12,90.0,60,Candace Marshall
60.0,15.0,12,81.0,60,Candace Marshall
60.0,17.0,12,86.0,60,Candace Marshall
60.0,18.0,12,73.0,60,Candace Marshall
60.0,19.0,12,70.0,60,Candace Marshall
61.0,1.0,15,77.0,61,Edward Carter
61.0,2.0,15,79.75,61,Edward Carter
61.0,3.0,15,71.0,61,Edward Carter
61.0,5.0,15,82.0,61,Edward Carter
61.0,11.0,15,84.33,61,Edward Carter
61.0,13.0,15,89.0,61,Edward Carter
61.0,15.0,15,89.0,61,Edward Carter
61.0,17.0,15,90.0,61,Edward Carter
61.0,20.0,15,80.0,61,Edward Carter
62.0,2.0,14,83.2,62,Christopher Jackson
62.0,3.0,14,76.5,62,Christopher Jackson
62.0,6.0,14,80.0,62,Christopher Jackson
62.0,9.0,14,82.0,62,Christopher Jackson
62.0,15.0,14,77.0,62,Christopher Jackson
62.0,16.0,14,82.0,62,Christopher Jackson
62.0,17.0,14,76.0,62,Christopher Jackson
62.0,18.0,14,88.0,62,Christopher Jackson
62.0,20.0,14,77.0,62,Christopher Jackson
63.0,1.0,15,89.0,63,Karina Griffith
63.0,2.0,15,77.8,63,Karina Griffith
63.0,3.0,15,86.0,63,Karina Griffith
63.0,5.0,15,81.0,63,Karina Griffith
63.0,6.0,15,75.0,63,Karina Griffith
63.0,8.0,15,79.0,63,Karina Griffith
63.0,10.0,15,73.0,63,Karina Griffith
63.0,13.0,15,73.0,63,Karina Griffith
63.0,17.0,15,87.0,63,Karina Griffith
63.0,18.0,15,72.0,63,Karina Griffith
63.0,20.0,15,79.0,63,Karina Griffith
64.0,1.0,14,74.0,64,Kenneth Franklin
64.0,2.0,14,84.5,64,Kenneth Franklin
64.0,4.0,14,84.0,64,Kenneth Franklin
64.0,6.0,14,76.0,64,Kenneth Franklin
64.0,7.0,14,76.0,64,Kenneth Franklin
64.0,8.0,14,74.5,64,Kenneth Franklin
64.0,17.0,14,76.0,64,Kenneth Franklin
64.0,20.0,14,85.0,64,Kenneth Franklin
65.0,1.0,14,74.0,65,Derrick Moreno
65.0,2.0,14,85.0,65,Derrick Moreno
65.0,3.0,14,93.0,65,Derrick Moreno
65.0,10.0,14,69.0,65,Derrick Moreno
65.0,11.0,14,65.0,65,Derrick Moreno
65.0,13.0,14,77.0,65,Derrick Moreno
65.0,14.0,14,72.0,65,Derrick Moreno
65.0,15.0,14,87.0,65,Derrick Moreno
65.0,16.0,14,68.0,65,Derrick Moreno
65.0,17.0,14,77.0,65,Derrick Moreno
65.0,19.0,14,69.0,65,Derrick Moreno
66.0,2.0,12,87.33,66,Dr. Fernando Gonzalez
66.0,3.0,12,70.0,66,Dr. Fernando Gonzalez
66.0,6.0,12,72.0,66,Dr. Fernando Gonzalez
66.0,8.0,12,83.0,66,Dr. Fernando Gonzalez
66.0,10.0,12,85.0,66,Dr. Fernando Gonzalez
66.0,11.0,12,74.0,66,Dr. Fernando Gonzalez
66.0,17.0,12,78.0,66,Dr. Fernando Gonzalez
66.0,20.0,12,79.0,66,Dr. Fernando Gonzalez
67.0,2.0,14,77.5,67,John Clayton
67.0,6.0,14,84.0,67,John Clayton
67.0,9.0,14,80.5,67,John Clayton
67.0,13.0,14,76.0,67,John Clayton
67.0,15.0,14,80.5,67,John Clayton
67.0,17.0,14,83.0,67,John Clayton
67.0,18.0,14,77.0,67,John Clayton
67.0,20.0,14,78.0,67,John Clayton
68.0,2.0,14,76.75,68,Ryan Young
68.0,3.0,14,78.0,68,Ryan Young
68.0,5.0,14,89.0,68,Ryan Young
68.0,11.0,14,80.5,68,Ryan Young
68.0,15.0,14,74.0,68,Ryan Young
68.0,17.0,14,86.0,68,Ryan Young
68.0,19.0,14,84.5,68,Ryan Young
68.0,20.0,14,74.5,68,Ryan Young
69.0,1.0,15,84.0,69,Renee Snyder
69.0,2.0,15,78.25,69,Renee Snyder
69.0,4.0,15,84.0,69,Renee Snyder
69.0,5.0,15,89.0,69,Renee Snyder
69.0,6.0,15,85.0,69,Renee Snyder
69.0,7.0,15,65.0,69,Renee Snyder
69.0,9.0,15,70.0,69,Renee Snyder
69.0,10.0,15,80.0,69,Renee Snyder
69.0,15.0,15,77.0,69,Renee Snyder
69.0,17.0,15,89.5,69,Renee Snyder
69.0,18.0,15,78.0,69,Renee Snyder
70.0,2.0,13,82.75,70,Tonya Miller
70.0,3.0,13,78.5,70,Tonya Miller
70.0,7.0,13,64.0,70,Tonya Miller
70.0,8.0,13,79.0,70,Tonya Miller
70.0,9.0,13,83.0,70,Tonya Miller
70.0,10.0,13,80.0,70,Tonya Miller
70.0,17.0,13,70.0,70,Tonya Miller
70.0,20.0,13,89.0,70,Tonya Miller
71.0,2.0,12,74.25,71,Lisa Haas
71.0,4.0,12,78.0,71,Lisa Haas
71.0,6.0,12,83.0,71,Lisa Haas
71.0,7.0,12,97.0,71,Lisa Haas
71.0,10.0,12,74.0,71,Lisa Haas
71.0,11.0,12,92.0,71,Lisa Haas
71.0,12.0,12,93.0,71,Lisa Haas
71.0,17.0,12,84.0,71,Lisa Haas
71.0,20.0,12,78.0,71,Lisa Haas
72.0,2.0,13,81.0,72,Ashley Raymond
72.0,5.0,13,93.0,72,Ashley Raymond
72.0,9.0,13,74.0,72,Ashley Raymond
72.0,10.0,13,80.0,72,Ashley Raymond
72.0,12.0,13,80.5,72,Ashley Raymond
72.0,14.0,13,83.0,72,Ashley Raymond
72.0,15.0,13,78.0,72,Ashley Raymond
72.0,17.0,13,86.0,72,Ashley Raymond
72.0,19.0,13,74.0,72,Ashley Raymond
73.0,2.0,13,74.25,73,Faith Gregory
73.0,3.0,13,81.0,73,Faith Gregory
73.0,4.0,13,92.0,73,Faith Gregory
